suburb,rooms,type,price,method,seller_g,date,distance,postcode,bedroom2,bathroom,car,landsize,building_area,year_built,council_area,lattitude,longtitude,region_name,property_count
Abbotsford,2,h,NA,SS,Jellis,3/9/16,2.5,3067,2,1,1,126,NA,NA,Yarra City Council,-37.8014,144.9958,Northern Metropolitan,4019
Abbotsford,2,h,1480000,S,Biggin,3/12/16,2.5,3067,2,1,1,202,NA,NA,Yarra City Council,-37.7996,144.9984,Northern Metropolitan,4019
Abbotsford,2,h,1035000,S,Biggin,4/2/16,2.5,3067,2,1,0,156,79,1900,Yarra City Council,-37.8079,144.9934,Northern Metropolitan,4019
Abbotsford,3,u,NA,VB,Rounds,4/2/16,2.5,3067,3,2,1,0,NA,NA,Yarra City Council,-37.8114,145.0116,Northern Metropolitan,4019
Abbotsford,3,h,1465000,SP,Biggin,4/3/17,2.5,3067,3,2,0,134,150,1900,Yarra City Council,-37.8093,144.9944,Northern Metropolitan,4019
Abbotsford,3,h,850000,PI,Biggin,4/3/17,2.5,3067,3,2,1,94,NA,NA,Yarra City Council,-37.7969,144.9969,Northern Metropolitan,4019
Abbotsford,4,h,1600000,VB,Nelson,4/6/16,2.5,3067,3,1,2,120,142,2014,Yarra City Council,-37.8072,144.9941,Northern Metropolitan,4019
Abbotsford,4,h,NA,SN,Nelson,6/8/16,2.5,3067,3,2,2,400,220,2006,Yarra City Council,-37.7965,144.9965,Northern Metropolitan,4019
Abbotsford,2,h,NA,S,Biggin,6/8/16,2.5,3067,4,1,2,201,NA,1900,Yarra City Council,-37.7995,144.9974,Northern Metropolitan,4019
Abbotsford,2,h,NA,S,Collins,6/8/16,2.5,3067,3,2,1,202,NA,1900,Yarra City Council,-37.7996,144.9989,Northern Metropolitan,4019
Abbotsford,2,h,941000,S,Jellis,7/5/16,2.5,3067,2,1,0,181,NA,NA,Yarra City Council,-37.8041,144.9953,Northern Metropolitan,4019
Abbotsford,3,h,1876000,S,Nelson,7/5/16,2.5,3067,4,2,0,245,210,1910,Yarra City Council,-37.8024,144.9993,Northern Metropolitan,4019
Abbotsford,2,u,NA,PI,Biggin,7/11/16,2.5,3067,2,2,1,4292,82,2009,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,4019
Abbotsford,4,h,NA,W,Biggin,7/11/16,2.5,3067,6,2,0,230,147,1860,Yarra City Council,-37.8066,144.9936,Northern Metropolitan,4019
Abbotsford,2,h,1636000,S,Nelson,8/10/16,2.5,3067,2,1,2,256,107,1890,Yarra City Council,-37.806,144.9954,Northern Metropolitan,4019
