"start","end","downloads","package","total"
2019-07-01,2019-07-31,468,"animint2",468
2019-08-01,2019-08-31,392,"animint2",860
2019-09-01,2019-09-30,379,"animint2",1239
2019-10-01,2019-10-31,276,"animint2",1515
2019-11-01,2019-11-30,354,"animint2",1869
2019-12-01,2019-12-31,337,"animint2",2206
2020-01-01,2020-01-31,515,"animint2",2721
2020-02-01,2020-02-29,470,"animint2",3191
2020-03-01,2020-03-31,437,"animint2",3628
2020-04-01,2020-04-30,76,"animint2",3704
2020-05-01,2020-05-31,104,"animint2",3808
2020-06-01,2020-06-30,106,"animint2",3914
2020-07-01,2020-07-23,61,"animint2",3975
2019-05-01,2019-05-31,540,"ANOVAShiny",540
2019-06-01,2019-06-30,243,"ANOVAShiny",783
2019-07-01,2019-07-31,530,"ANOVAShiny",1313
2019-08-01,2019-08-31,503,"ANOVAShiny",1816
2019-09-01,2019-09-30,482,"ANOVAShiny",2298
2019-10-01,2019-10-31,377,"ANOVAShiny",2675
2019-11-01,2019-11-30,445,"ANOVAShiny",3120
2019-12-01,2019-12-31,411,"ANOVAShiny",3531
2020-01-01,2020-01-31,594,"ANOVAShiny",4125
2020-02-01,2020-02-29,520,"ANOVAShiny",4645
2020-03-01,2020-03-31,504,"ANOVAShiny",5149
2020-04-01,2020-04-30,549,"ANOVAShiny",5698
2020-05-01,2020-05-31,885,"ANOVAShiny",6583
2020-06-01,2020-06-30,766,"ANOVAShiny",7349
2020-07-01,2020-07-23,399,"ANOVAShiny",7748
2019-05-01,2019-05-31,468,"ASSOCShiny",468
2019-06-01,2019-06-30,188,"ASSOCShiny",656
2019-07-01,2019-07-31,521,"ASSOCShiny",1177
2019-08-01,2019-08-31,285,"ASSOCShiny",1462
2019-09-01,2019-09-30,371,"ASSOCShiny",1833
2019-10-01,2019-10-31,324,"ASSOCShiny",2157
2019-11-01,2019-11-30,420,"ASSOCShiny",2577
2019-12-01,2019-12-31,380,"ASSOCShiny",2957
2020-01-01,2020-01-31,485,"ASSOCShiny",3442
2020-02-01,2020-02-29,434,"ASSOCShiny",3876
2020-03-01,2020-03-31,446,"ASSOCShiny",4322
2020-04-01,2020-04-30,503,"ASSOCShiny",4825
2020-05-01,2020-05-31,802,"ASSOCShiny",5627
2020-06-01,2020-06-30,691,"ASSOCShiny",6318
2020-07-01,2020-07-23,390,"ASSOCShiny",6708
2018-01-01,2018-01-31,357,"autoplotly",357
2018-02-01,2018-02-28,222,"autoplotly",579
2018-03-01,2018-03-31,290,"autoplotly",869
2018-04-01,2018-04-30,987,"autoplotly",1856
2018-05-01,2018-05-31,396,"autoplotly",2252
2018-06-01,2018-06-30,273,"autoplotly",2525
2018-07-01,2018-07-31,241,"autoplotly",2766
2018-08-01,2018-08-31,237,"autoplotly",3003
2018-09-01,2018-09-30,504,"autoplotly",3507
2018-10-01,2018-10-31,582,"autoplotly",4089
2018-11-01,2018-11-30,487,"autoplotly",4576
2018-12-01,2018-12-31,384,"autoplotly",4960
2019-01-01,2019-01-31,484,"autoplotly",5444
2019-02-01,2019-02-28,429,"autoplotly",5873
2019-03-01,2019-03-31,556,"autoplotly",6429
2019-04-01,2019-04-30,598,"autoplotly",7027
2019-05-01,2019-05-31,709,"autoplotly",7736
2019-06-01,2019-06-30,425,"autoplotly",8161
2019-07-01,2019-07-31,625,"autoplotly",8786
2019-08-01,2019-08-31,479,"autoplotly",9265
2019-09-01,2019-09-30,616,"autoplotly",9881
2019-10-01,2019-10-31,543,"autoplotly",10424
2019-11-01,2019-11-30,591,"autoplotly",11015
2019-12-01,2019-12-31,548,"autoplotly",11563
2020-01-01,2020-01-31,758,"autoplotly",12321
2020-02-01,2020-02-29,790,"autoplotly",13111
2020-03-01,2020-03-31,716,"autoplotly",13827
2020-04-01,2020-04-30,803,"autoplotly",14630
2020-05-01,2020-05-31,1085,"autoplotly",15715
2020-06-01,2020-06-30,949,"autoplotly",16664
