date,count,package
2019-01-01,8102,ggplot2
2019-01-02,16773,ggplot2
2019-01-03,19242,ggplot2
2019-01-04,18252,ggplot2
2019-01-05,11754,ggplot2
2019-01-06,11591,ggplot2
2019-01-07,24240,ggplot2
2019-01-08,26369,ggplot2
2019-01-09,27602,ggplot2
2019-01-10,28216,ggplot2
2019-01-11,25481,ggplot2
2019-01-12,14526,ggplot2
2019-01-13,14799,ggplot2
2019-01-14,28413,ggplot2
2019-01-15,31449,ggplot2
2019-01-16,31922,ggplot2
2019-01-17,29946,ggplot2
2019-01-18,28402,ggplot2
2019-01-19,16706,ggplot2
2019-01-20,15812,ggplot2
2019-01-21,28003,ggplot2
2019-01-22,32733,ggplot2
2019-01-23,32246,ggplot2
2019-01-24,31655,ggplot2
2019-01-25,26412,ggplot2
2019-01-26,12963,ggplot2
2019-01-27,13420,ggplot2
2019-01-28,30624,ggplot2
2019-01-29,30601,ggplot2
2019-01-30,30201,ggplot2
2019-01-31,27945,ggplot2
2019-02-01,27764,ggplot2
2019-02-02,14888,ggplot2
2019-02-03,14211,ggplot2
2019-02-04,29984,ggplot2
2019-02-05,31255,ggplot2
2019-02-06,29305,ggplot2
2019-02-07,31533,ggplot2
2019-02-08,28147,ggplot2
2019-02-09,14593,ggplot2
2019-02-10,14459,ggplot2
2019-02-11,31001,ggplot2
2019-02-12,32069,ggplot2
2019-02-13,33311,ggplot2
2019-02-14,28451,ggplot2
2019-02-15,30772,ggplot2
2019-02-16,14831,ggplot2
2019-02-17,14540,ggplot2
2019-02-18,27657,ggplot2
2019-02-19,30305,ggplot2
2019-02-20,30607,ggplot2
2019-02-21,31876,ggplot2
2019-02-22,28136,ggplot2
2019-02-23,15212,ggplot2
2019-02-24,14168,ggplot2
2019-02-25,30194,ggplot2
2019-02-26,31933,ggplot2
2019-02-27,29916,ggplot2
2019-02-28,29208,ggplot2
2019-03-01,25385,ggplot2
2019-03-02,13344,ggplot2
2019-03-03,13459,ggplot2
2019-03-04,28582,ggplot2
2019-03-05,29721,ggplot2
2019-03-06,30397,ggplot2
2019-03-07,30513,ggplot2
2019-03-08,26021,ggplot2
2019-03-09,14352,ggplot2
2019-03-10,14313,ggplot2
2019-03-11,30667,ggplot2
2019-03-12,32065,ggplot2
2019-03-13,31370,ggplot2
2019-03-14,31379,ggplot2
2019-03-15,26856,ggplot2
2019-03-16,14636,ggplot2
2019-03-17,14732,ggplot2
2019-03-18,29650,ggplot2
2019-03-19,32202,ggplot2
2019-03-20,32097,ggplot2
2019-03-21,30278,ggplot2
2019-03-22,26906,ggplot2
2019-03-23,16989,ggplot2
2019-03-24,14687,ggplot2
2019-03-25,30909,ggplot2
2019-03-26,32849,ggplot2
2019-03-27,31927,ggplot2
2019-03-28,31303,ggplot2
2019-03-29,25712,ggplot2
2019-03-30,14178,ggplot2
2019-03-31,14353,ggplot2
2019-04-01,29170,ggplot2
2019-04-02,30819,ggplot2
2019-04-03,31342,ggplot2
2019-04-04,31295,ggplot2
2019-04-05,26908,ggplot2
2019-04-06,14608,ggplot2
2019-04-07,20784,ggplot2
2019-04-08,40686,ggplot2
2019-04-09,38956,ggplot2
2019-04-10,37101,ggplot2
2019-04-11,35232,ggplot2
2019-04-12,31177,ggplot2
2019-04-13,16601,ggplot2
2019-04-14,16713,ggplot2
2019-04-15,33177,ggplot2
2019-04-16,32762,ggplot2
2019-04-17,32585,ggplot2
2019-04-18,29258,ggplot2
2019-04-19,22829,ggplot2
2019-04-20,15283,ggplot2
2019-04-21,13779,ggplot2
2019-04-22,25061,ggplot2
2019-04-23,31446,ggplot2
2019-04-24,31365,ggplot2
2019-04-25,29973,ggplot2
2019-04-26,27867,ggplot2
2019-04-27,16977,ggplot2
2019-04-28,18428,ggplot2
2019-04-29,34501,ggplot2
2019-04-30,33817,ggplot2
2019-05-01,26892,ggplot2
2019-05-02,32869,ggplot2
2019-05-03,28609,ggplot2
2019-05-04,16175,ggplot2
